,integral,peak,integral average,height,width,area
0,6324.0,148.0,82.12987012987013,11.0,10.0,110.0
1,3908.0,132.0,83.14893617021276,9.0,9.0,81.0
2,4685.0,124.0,70.98484848484848,11.0,11.0,121.0
3,4333.0,173.0,86.66,9.0,8.0,72.0
4,6849.0,148.0,79.63953488372093,12.0,13.0,156.0
5,10863.0,131.0,74.91724137931034,14.0,13.0,182.0
6,9200.0,133.0,81.41592920353982,12.0,11.0,132.0
7,12640.0,131.0,71.81818181818181,15.0,16.0,240.0
8,5454.0,168.0,85.21875,8.0,9.0,72.0
9,6525.0,154.0,84.74025974025975,9.0,10.0,90.0
10,5776.0,141.0,83.71014492753623,9.0,9.0,81.0
11,4535.0,154.0,79.56140350877193,9.0,10.0,90.0
12,12047.0,170.0,91.9618320610687,12.0,13.0,156.0
13,10290.0,131.0,75.66176470588235,12.0,13.0,156.0
14,3646.0,117.0,75.95833333333333,10.0,12.0,120.0
15,2646.0,113.0,71.51351351351352,7.0,8.0,56.0
16,7477.0,149.0,84.9659090909091,10.0,11.0,110.0
17,5428.0,117.0,71.42105263157895,11.0,12.0,132.0
18,3323.0,141.0,79.11904761904762,8.0,9.0,72.0
19,3730.0,118.0,73.13725490196079,9.0,9.0,81.0
20,2205.0,101.0,66.81818181818181,10.0,10.0,100.0
21,6763.0,134.0,82.47560975609755,10.0,10.0,100.0
22,4977.0,135.0,87.3157894736842,9.0,11.0,99.0
23,5830.0,150.0,98.8135593220339,8.0,8.0,64.0
24,7145.0,163.0,94.01315789473684,8.0,10.0,80.0
25,6705.0,208.0,104.765625,8.0,8.0,64.0
26,8857.0,203.0,123.01388888888889,8.0,9.0,72.0
27,2938.0,117.0,75.33333333333333,7.0,9.0,63.0
28,10884.0,174.0,101.7196261682243,10.0,11.0,110.0
29,6802.0,194.0,109.70967741935483,8.0,8.0,64.0
30,7311.0,160.0,97.48,8.0,10.0,80.0
31,8857.0,203.0,123.01388888888889,8.0,9.0,72.0
32,4473.0,151.0,79.875,8.0,9.0,72.0
33,3938.0,151.0,83.7872340425532,7.0,8.0,56.0
34,7464.0,145.0,91.02439024390245,9.0,10.0,90.0
35,3598.0,162.0,83.67441860465117,7.0,8.0,56.0
36,5191.0,128.0,74.15714285714286,11.0,14.0,154.0
37,8417.0,145.0,85.88775510204081,11.0,12.0,132.0
